state,Governor,Population
Alabama,R,4903185
Alaska,R,731545
Arizona,R,7278717
Arkansas,R,3017804
California,D,39512223
Colorado,D,5758736
Connecticut,D,3565287
Delaware,D,973764
Florida,R,21477737
Georgia,R,10617423
Hawaii,D,1415872
Idaho,R,1787065
Illinois,D,12671821
Indiana,R,6732219
Iowa,R,3155070
Kansas,D,2913314
Kentucky,R,4467673
Louisiana,D,4648794
Maine,D,1344212
Maryland,R,6045680
Massachusetts,R,6892503
Michigan,D,9986857
Minnesota,D,5639632
Mississippi,R,2976149
Missouri,R,6137428
Montana,D,1068778
Nebraska,R,1934408
Nevada,D,3080156
New Hampshire,R,1359711
New Jersey,D,8882190
New Mexico,D,2096829
New York,D,19453561
North Carolina,D,10488084
North Dakota,R,762062
Ohio,R,11689100
Oklahoma,R,3956971
Oregon,D,4217737
Pennsylvania,D,12801989
Rhode Island,D,1059361
South Carolina,R,5148714
South Dakota,R,884659
Tennessee,R,6829174
Texas,R,28995881
Utah,R,3205958
Vermont,R,623989
Virginia,R,8535519
Washington,D,7614893
West Virginia,R,1792147
Wisconsin,D,5822434
Wyoming,R,578759
